jockstrap	-1.5	-0.67	-0.42	1.6956709586473433
tutu	1.19	-0.85	0.08	1.4645818515876807
poignant	0.1	-0.91	1.44	1.7063704169962628
puncture	-0.67	-1.17	0.35	1.3929465172791091
goon	-1.47	-0.24	-0.26	1.511985449665439
permit	0.26	-1.24	-0.32	1.3067516979135707
goop	-0.79	-1.45	-1.39	2.158402186803933
permissible	0.3	-1.7	1.12	2.0577657787027173
cancer	-3.1	0.14	-2.1	3.746945422607594
suitable	0.7	-2.0	1.16	2.4156986567036873
foolproof	0.82	-0.64	1.0	1.4429137188342205
tweed	-0.82	-0.91	0.79	1.457600768386186
creepy	-2.48	0.54	-0.67	2.6250523804297696
bloodthirsty	-2.45	-0.1	-0.32	2.4728323841295836
romance	2.28	1.06	0.0	2.5143587651725436
terrifying	-2.37	0.91	-2.32	3.4390987191413975
fountain	1.26	-1.9	0.9	2.451040595339049
storytelling	2.0	-0.6	1.18	2.39841614404173
breadth	-0.37	-1.39	0.5	1.5228263197095064
fuselage	-0.5	-1.94	0.04	2.0037963968427532
impeach	-1.55	0.74	0.71	1.8585478202080248
artistry	1.91	-0.29	2.43	3.104367890569673
atlas	0.95	-2.5	0.7	2.7645071893558173
catalog	0.95	-2.67	0.76	2.934109745732085
pile	-0.26	-0.57	0.57	0.846994687114388
pterodactyl	0.71	-0.55	0.48	1.0183319694480772
immortal	1.24	0.3	-0.06	1.2771844032871684
narcissist	-1.89	0.81	-0.96	2.2693170778892933
pill	-0.84	-1.27	-0.12	1.5273833834371775
chilly	-0.59	0.0	-0.26	0.6447480127925947
dummy	-1.34	-1.21	-1.29	2.218963722100927
conjecture	-0.29	-1.36	-0.33	1.4291955779388628
burlesque	0.68	0.3	-0.26	0.7874007874011811
executor	-1.05	0.1	0.54	1.1849472562101657
sash	0.48	-1.0	0.5	1.2167168939404105
flop	-1.05	-1.59	-0.21	1.916950703591514
block	-0.52	-0.75	1.21	1.515585695366646
hate	-3.04	1.26	-0.53	3.3331816632160933
flow	0.68	-1.29	0.4	1.5121177202850313
promotional	0.45	-0.23	1.53	1.6113038198924499
gory	-2.43	0.1	-0.68	2.525331661386282
order	0.82	-1.81	1.56	2.5262818528422355
therapist	-0.57	-1.68	-0.77	1.9339596686590959
undignified	-1.75	-0.59	-0.47	1.9056494955788696
conceit	-2.25	1.58	-0.08	2.7505090437953483
pike	-0.27	-0.91	0.5	1.072846680565308
timid	-1.63	-1.85	-0.31	2.485055331375943
resonance	0.9	-0.55	0.43	1.139034679015525
anthill	-0.68	-0.37	-0.24	0.8104936767180853
propose	1.26	-0.23	0.77	1.494456422917711
phobia	-1.32	1.57	-1.35	2.4555651080759398
